screen,name,full_prompt,composition_notes,size
board,board_base,"top-down view of a vast dark stone table surface, cracked slate tiles, heavy dry-brush ink strokes, sponge-stippled shading, deep analog texture, extremely limited desaturated color palette of dark greys and deep blacks, gritty graphic novel style, raw coarse gestural linework, jagged edges, dark fantasy illustration, high contrast, ominous aesthetic, no text, no characters, no objects","Full-bleed backdrop (M1). Must stay VERY quiet and dark — everything else layers on top. Even texture, no focal points, corners darker (vignette). WIDE ratio.",2048x1152
board,board_playmat_center,"ornate rectangular stone play mat inlaid into a dark slate table, carved jagged stone border, interior a plain darker stippled slate surface with a faint octagonal inlay at the very center, top-down view, gritty graphic novel style, raw coarse gestural linework, heavy dry-brush ink strokes, jagged edges, deep analog texture, sponge-stippled shading, extremely limited desaturated color palette of dark greys and deep blacks, dark fantasy illustration, high contrast, ominous aesthetic, no text, no characters","M2. Decorated BORDER only — interior flat and quiet: the two unit rows overlay it. Octagon hint faint, low contrast. WIDE ratio.",2048x1536
board,board_rail_side,"vertical weathered stone rail shelf at the edge of a dark slate table, carved recesses sized for stacks of cards, jagged chipped edges, top-down view, gritty graphic novel style, raw coarse gestural linework, heavy dry-brush ink strokes, deep analog texture, sponge-stippled shading, extremely limited desaturated color palette of dark greys and deep blacks, dark fantasy illustration, high contrast, ominous aesthetic, no text, no characters","M3, generate once, mirror for left/right. Recesses = deck / discard / consumed wells, empty and even. TALL ratio.",1024x2048
board,board_corner_crow_roost,"a stone gargoyle perch with a carved crow statue, chipped and jagged, viewed from above on dark slate, faint cold pale white glow in the crow's eyes, gritty graphic novel style, raw coarse gestural linework, heavy dry-brush ink strokes, jagged edges, deep analog texture, sponge-stippled shading, extremely limited desaturated color palette of dark greys and deep blacks, dark fantasy illustration, high contrast, visceral and ominous aesthetic, no text","M4 corner diorama A. Object centered, generous dark slate margin for feather-blending. Eye glow is the ONLY accent. SQUARE.",1024x1024
board,board_corner_candles,"a cluster of melted black candles on a stone dish, wax dripping onto dark slate, viewed from above, faint searing ember orange glow in the flames, gritty graphic novel style, raw coarse gestural linework, heavy dry-brush ink strokes, jagged edges, deep analog texture, sponge-stippled shading, extremely limited desaturated color palette of dark greys and deep blacks, dark fantasy illustration, high contrast, visceral and ominous aesthetic, no text","M4 corner diorama B. Same margin rule. Flame glow is the only accent. SQUARE.",1024x1024
board,board_corner_tomes,"a short stack of worn leather grimoires with a raven feather quill and ink pot on dark slate, viewed from above, faint electric cobalt blue glow leaking from the page edges, gritty graphic novel style, raw coarse gestural linework, heavy dry-brush ink strokes, jagged edges, deep analog texture, sponge-stippled shading, extremely limited desaturated color palette of dark greys and deep blacks, dark fantasy illustration, high contrast, visceral and ominous aesthetic, no text","M4 corner diorama C. Same margin rule. Page glow only accent. SQUARE.",1024x1024
board,board_corner_bones,"scattered old bones and a cracked skull half sunk in dark moss on slate stone, viewed from above, faint sickly neon violet glow in the skull's eye socket, gritty graphic novel style, raw coarse gestural linework, heavy dry-brush ink strokes, jagged edges, deep analog texture, sponge-stippled shading, extremely limited desaturated color palette of dark greys and deep blacks, dark fantasy illustration, high contrast, visceral and ominous aesthetic, no text","M4 corner diorama D. Same margin rule. Socket glow only accent. SQUARE.",1024x1024
board,slot_field_socket,"a single empty square stone socket recessed into dark slate, jagged carved border, plain dark stippled interior, viewed from directly above, gritty graphic novel style, raw coarse gestural linework, heavy dry-brush ink strokes, deep analog texture, sponge-stippled shading, extremely limited desaturated color palette of dark greys and deep blacks, dark fantasy illustration, high contrast, ominous aesthetic, no text","M5. One socket sprite reused for all 12 unit sockets. Interior flat dark (cards render on top). Plain slate background for clean cropping. SQUARE.",1024x1024
board,slot_equip_socket,"a single empty small rectangular stone alcove recessed into dark slate, jagged carved border, plain dark interior, viewed from directly above, gritty graphic novel style, raw coarse gestural linework, heavy dry-brush ink strokes, deep analog texture, sponge-stippled shading, extremely limited desaturated color palette of dark greys and deep blacks, dark fantasy illustration, high contrast, ominous aesthetic, no text","M5. Kept for optional equipment wells (equipment normally renders as icons on unit cards). SQUARE.",1024x1024
board,slot_roost_orb,"a carved stone ring socket holding a smooth dark orb, faint cold pale white inner glow, jagged chipped rim, viewed from directly above on dark slate, gritty graphic novel style, raw coarse gestural linework, heavy dry-brush ink strokes, deep analog texture, sponge-stippled shading, extremely limited desaturated color palette of dark greys and deep blacks, dark fantasy illustration, high contrast, ominous aesthetic, no text","M5. THE ROOST life orb housing, one per side; life number renders over the orb. Faint glow only accent. SQUARE.",1024x1024
board,board_center_emblem,"a carved stone octagon medallion with ten small round gem sockets around its rim and two stylized crows circling it, inlaid flush into dark slate, viewed from directly above, the ten gems each holding a faint different colored glow, gritty graphic novel style, raw coarse gestural linework, heavy dry-brush ink strokes, jagged edges, deep analog texture, sponge-stippled shading, extremely limited desaturated color palette of dark greys and deep blacks, dark fantasy illustration, high contrast, ominous aesthetic, no text","M6. Echoes the card-back motif (two crows + octagon + 10 aspect gems). Board center between rows; keep contrast low so it never fights the cards. SQUARE.",1024x1024
